Community Area Number,Community Area Name,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units
39,Lakeview ,Senior,Renaissance St. Luke Greenview Place,1501 W. Melrose St.,60657,773-525-1501,"RRG Development, Inc.",285
40,Washington Park,People with Disabilities,Urbanite Apartments,5441 S. Michigan Ave.,60615,773-285-3341,Assoc. of Chicago Day School,630
41,Hyde Park,Multifamily,Hyde Park Apartments,5330 S. Harper Ave.,60615,773-955-2610,"DRE, Inc.",36
42,Woodlawn,Multifamily,Woodlawn-Michigan Development,6446 S. Kenwood Ave.,60637,312-226-2200,Wolcott Real Property LLC,569
43,South Shore,Multifamily,Highlands Tudor Manor,7018 S. Cregier Ave.,60649,773-667-1940,Related Management Co. LP,244
44,Chatham,Supportive Housing,Karibuni Place,8200 S. Ellis Ave.,60619,773-873-0708,Heartland Housing,144
45,Avalon Park,Senior,Montclare Senior Residences of Avalon Park,1200 E. 78th St.,60619,773-933-9000,Montclare Senior Residences,102
46,South Chicago,Senior,Victory Center of South Chicago,3251 E. 92nd St.,60617,773-449-2600,Pathway Senior Living ,307
47,Burnside,,,,,,,0
48,Calumet Heights,,,,,,,0
49,Roseland,Supportive Housing,Wentworth Commons,11045 S. Wentworth Ave.,60628,773-568-7804,Mercy Housing Lakefront,356
50,Pullman,Multifamily,Pullman Wheelworks,901 E. 104th St.,60628,773-785-1300,Mercy Housing,270
51,South Deering,,,,,,,0
52,East Side,,,,,,,0
53,West Pullman ,Supportive Housing,Hancock House,12045 S. Emerald Ave.,60628,773-568-3000,Source Works Development,132
54,Riverdale,Senior,Concordia Apartments,13037 S. Daniel Dr.,60627,773-995-5200,"DRE, Inc.",75
55,Hegewisch,Senior,Senior Suites of Hegewisch,13550 S. Avenue O,60633,773-646-1333 ext. 1,Senior Lifestyle Corp.,116
56,Garfield Ridge,Senior,Senior Suites of Garfield Ridge,5839 S. Harlem Ave.,60638,773-229-1533,Senior Lifestyle Corp.,87
57,Archer Heights,,,,,,,0
58,Brighton Park,,,,,,,0
59,McKinley Park,,,,,,,0
60,Bridgeport,Senior,Senior Suites of Bridgeport,2825 S. Halsted St.,60608,312-326-0333,Senior Lifestyle Corp.,85
61,New City,Multifamily,Senior Suites of New City,4845 S. Western Blvd.,60609,773-523-9333,Senior Lifestyle Corp.,326
62,West Elsdon,,,,,,,0
63,Gage Park,Senior,Senior Suites of Gage Park,3244 W. 59th St.,60629,773-434-4333,Senior Lifestyle Corp.,59
64,Clearing,,,,,,,0
65,West Lawn,Seniors,Senior Suites of Midway Village,6800 S. Keating Ave.,60629,888-339-2315,Senior Lifestyle Corp.,89
66,Chicago Lawn,Senior,Lawn Terrace Independent  Living Apartments,3214 W. 63rd Place,60629,773-925-0815,Greater Southwest Dev. Corp.,341
67,West Englewood,Multifamily,Clara Temple Hampton Residence,1656 W. 63rd St.,60636,773-778-2884,West Englewood Dev. Org.,84
68,Englewood,,,,,,,0
69,Greater Grand Crossing,Multifamily,Englewood Gardens,6956 S. Vincennes Ave.,60621,773-994-4830,"East Lake Management Group, Inc.",56
70,Ashburn ,Senior,Wrightwood Senior Apartments,2815 W. 79th St.,60652,773-471-7777,Ludwig and Company,85
71,Auburn Gresham,Multifamily,Stone Terrace,8440 S. Parnell Ave.,60620,773-651-9234,East Lake Management & Development Corp.,352
72,Beverly,,,,,,,0
73,Washington Heights,Senior,Senior Suites of Washington Heights,848 W. 103rd St.,60643,773-233-1333,Senior Lifestyle Corp.,82
74,Mount Greenwood,,,,,,,0
75,Morgan Park,,,,,,,0
76,O'Hare,,,,,,,0
77,Edgewater,Multifamily,Winthrop Apartments,6214 N. Winthrop Ave.,60660,773-477-7070 ext. 16,Hunter Properties,1154
